code, time total, target uri, method, date, time
2.05, 125, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:26:44
4.00, 69, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:26:46
2.01, 85, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:26:48
2.05, 69, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:26:50
4.00, 73, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:26:52
2.04, 67, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:26:54
2.05, 83, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:26:56
4.00, 63, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:26:58
2.01, 59, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:27:00
2.05, 79, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:03
4.00, 114, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:27:05
2.04, 113, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:27:07
2.05, 115, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:09
4.00, 75, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:27:12
2.01, 70, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:27:14
2.05, 71, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:16
4.00, 62, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:27:19
2.04, 65, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:27:21
2.05, 88, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:23
4.00, 63, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:27:25
2.01, 148, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:27:27
2.05, 78, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:29
4.00, 103, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:27:31
2.04, 62, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:27:33
2.05, 79, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:27:35
